,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
2039,2021-10-03,London,6348.0,426.0,8908081.0,92005.0,8855.0,8601.019514169038,7594.612461906603,9691.386668455852,96.55300074358372,85.25531438147681,108.7932032550653,965.530007435837,852.5531438147681,1087.9320325506528
2043,2021-10-04,London,6276.0,412.0,8908081.0,91683.0,8812.0,8166.4094999700355,7193.522266593882,9220.978238254362,91.67417202391891,80.75277118151352,103.51251002605792,916.7417202391887,807.5277118151351,1035.1251002605793
2047,2021-10-05,London,6294.0,417.0,8908081.0,91206.0,8806.0,8221.74066222993,7249.190878680091,9277.232548326363,92.29530650013096,81.37769378926944,104.14400754019148,922.9530650013097,813.7769378926946,1041.4400754019148
2051,2021-10-06,London,6353.0,414.0,8908081.0,90714.0,8795.0,8076.03338902448,7116.680027225533,9116.277263512828,90.65963128337609,79.8901584665152,102.33716176932863,906.5963128337606,798.9015846651521,1023.3716176932865
2055,2021-10-07,London,6318.0,441.0,8908081.0,90329.0,8764.0,8413.934911416003,7446.98894417236,9459.900086535856,94.45283346004604,83.59812785910188,106.19458990702772,944.5283346004603,835.9812785910186,1061.9458990702774
2059,2021-10-08,London,6353.0,453.0,8908081.0,90145.0,8764.0,8564.269859089727,7593.8088294825475,9613.204464333789,96.14045785045877,85.24629299489473,107.9155484142296,961.4045785045877,852.4629299489472,1079.155484142296
2063,2021-10-09,London,6313.0,458.0,8908081.0,90105.0,8711.0,8698.009307862758,7719.720229096642,9746.541324220605,97.64178511469257,86.6597444398703,109.41235631131558,976.4178511469256,866.5974443987028,1094.1235631131558
2067,2021-10-10,London,6257.0,447.0,8908081.0,90016.0,8721.0,8469.223506042297,7503.335030763242,9513.398904415522,95.07349008212091,84.23065563462256,106.79515492074579,950.7349008212093,842.3065563462255,1067.9515492074581
2071,2021-10-11,London,6150.0,447.0,8908081.0,89828.0,8626.0,8552.468566336716,7577.949055471819,9606.820240232011,96.00797934298888,85.06825494146068,107.8438806318893,960.0797934298888,850.6825494146068,1078.4388063188933
2075,2021-10-12,London,6150.0,457.0,8908081.0,89522.0,8627.0,8649.026427640356,7676.24281928776,9692.02791867996,97.09191494375,86.17167737122914,108.80040177766637,970.9191494375,861.7167737122912,1088.0040177766637
2079,2021-10-13,London,6020.0,457.0,8908081.0,89289.0,8485.0,8694.104104276066,7716.844786542677,9743.057975990769,97.59794622743178,86.6274654052054,109.37325307202265,975.9794622743176,866.2746540520543,1093.7325307202268
2083,2021-10-14,London,5959.0,462.0,8908081.0,89221.0,8430.0,8724.242455317928,7749.845098771238,9770.065710929042,97.93627219283172,86.99791906664564,109.6764354851403,979.3627219283172,869.9791906664562,1096.7643548514031
2087,2021-10-15,London,5929.0,465.0,8908081.0,89101.0,8370.0,8892.387469519705,7902.5940565079545,9955.511235205176,99.82382815692522,88.71264256025461,111.75820286327858,998.238281569252,887.1264256025461,1117.5820286327858
2091,2021-10-16,London,5847.0,481.0,8908081.0,89007.0,8328.0,9298.76352488294,8281.720077950125,10390.143286160575,104.3857091654526,92.96862116487408,116.63727896233291,1043.8570916545261,929.6862116487407,1166.372789623329
2095,2021-10-17,London,5798.0,502.0,8908081.0,88817.0,8277.0,9630.686321885752,8600.617341304798,10736.145620358704,108.11179559195469,96.54848604659969,120.52141892691256,1081.1179559195468,965.4848604659967,1205.2141892691259
2099,2021-10-18,London,5762.0,500.0,8908081.0,88612.0,8279.0,9784.207102278742,8736.084210956355,10909.18221822844,109.8351833832533,98.06920492703595,122.46388664661268,1098.3518338325327,980.6920492703597,1224.6388664661267
2103,2021-10-19,London,5780.0,500.0,8908081.0,88641.0,8284.0,9872.708749169455,8814.871338624158,11008.03644350072,110.82868183584608,98.95365049581562,123.57360068347741,1108.2868183584608,989.5365049581565,1235.7360068347741
2107,2021-10-20,London,5779.0,498.0,8908081.0,88655.0,8283.0,9754.22806150215,8706.963448373426,10878.261522597817,109.49864579702574,97.74230216781174,122.11677826680985,1094.9864579702576,977.4230216781177,1221.1677826680982
2111,2021-10-21,London,5783.0,511.0,8908081.0,88472.0,8234.0,10034.54149037204,8970.889594538268,11175.947084043844,112.6453777235753,100.705074353705,125.45852562458565,1126.4537772357526,1007.05074353705,1254.5852562458565
2115,2021-10-22,London,5792.0,514.0,8908081.0,88551.0,8280.0,10004.444748521806,8947.263271445141,11138.731434744774,112.30751885307068,100.4398508662544,125.04075159110891,1123.0751885307068,1004.3985086625438,1250.4075159110894
2119,2021-10-23,London,5838.0,512.0,8908081.0,88570.0,8351.0,9921.871211257443,8871.156118895122,11048.90452072154,111.38056795012804,99.58549006116043,124.03237600468091,1113.8056795012803,995.8549006116043,1240.3237600468096
2123,2021-10-24,London,5825.0,514.0,8908081.0,88529.0,8323.0,9922.23859904532,8873.468234281063,11047.270263570923,111.3846921581126,99.61144531893079,124.01403022234446,1113.846921581126,996.114453189308,1240.140302223445
2127,2021-10-25,London,5816.0,517.0,8908081.0,88414.0,8332.0,9901.46044077476,8848.277929399372,11017.820137850626,111.15144149199769,99.3286649436548,123.68343011082436,1111.5144149199766,993.2866494365477,1236.8343011082436
2131,2021-10-26,London,5774.0,522.0,8908081.0,88394.0,8270.0,9947.941151943665,8894.097139396226,11065.304221709788,111.67322290787055,99.8430205045983,124.21647515003276,1116.7322290787056,998.4302050459829,1242.1647515003274
2135,2021-10-27,London,5818.0,527.0,8908081.0,88425.0,8346.0,9871.35926641548,8818.315956935447,10994.856993015284,110.81353286320007,98.9923189622484,123.42565130486895,1108.1353286320007,989.923189622484,1234.2565130486896
2139,2021-10-28,London,5801.0,522.0,8908081.0,88360.0,8298.0,9545.951351275351,8534.792982867544,10617.88664662451,107.16058095200695,95.8095574441627,119.1938717960076,1071.6058095200694,958.0955744416272,1191.9387179600762
2143,2021-10-29,London,5809.0,519.0,8908081.0,88384.0,8313.0,9388.386762429132,8391.474451583037,10445.230404044345,105.39179832815992,94.20069767644722,117.25567385438394,1053.9179832815994,942.0069767644724,1172.5567385438396
